d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
120,260,181.0,1466.0,2240,220.0,1600,2600,45.0,32324/DF,120,172,21,7.5,3.0,1.0,148,213,246,10,3.0,1.0,0.35,1.9,2.9,1.8
130,180,64.0,420.0,735,76.5,2200,3200,4.95,32926/DF,130,64,6,4.5,1.5,0.6,141,167,170,6,1.5,0.6,0.33,2.0,3.0,2.0
130,230,135.5,1012.0,1660,170.0,1600,2800,23.0,32226/DF,130,128,10,7.5,3.0,1.0,146,193,216,7,3.0,1.0,0.43,1.6,2.3,1.6
130,230,87.5,774.0,980,102.0,1800,2800,14.0,30226/DF,130,80,10,7.5,3.0,1.0,152,203,216,6,3.0,1.0,0.43,1.6,2.3,1.6
130,280,127.5,1165.0,1600,163.0,1400,2400,35.0,30326/DF,130,116,17,10.0,4.0,1.5,165,239,264,8,4.0,1.5,0.35,1.9,2.9,1.8
130,280,144.0,1110.0,1560,160.0,1300,2400,39.5,31326 X/DF,130,132,20,15.0,4.0,1.5,157,218,264,8,4.0,1.5,0.83,0.81,1.2,0.8
140,190,64.0,432.0,780,80.0,2000,3000,5.2,32928/DF,140,64,9,6.0,1.5,0.6,151,177,180,6,1.5,0.6,0.35,1.9,2.9,1.8
140,210,90.0,692.0,1160,116.0,1900,2800,11.0,32028 X/DF,140,90,13,7.5,2.0,0.6,153,187,199,8,2.0,0.6,0.46,1.5,2.2,1.4
140,250,143.5,1185.0,2000,200.0,1500,2600,29.5,32228/DF,140,136,10,7.5,3.0,1.0,159,210,236,8,3.0,1.0,0.43,1.6,2.3,1.6
140,250,91.5,773.0,1140,116.0,1500,2600,18.0,30228/DF,140,84,10,7.5,3.0,1.0,164,219,236,8,3.0,1.0,0.43,1.6,2.3,1.6
140,300,154.0,1264.0,1800,180.0,1200,2200,49.0,31328 X/DF,140,140,20,15.0,4.0,1.5,169,235,284,9,4.0,1.5,0.83,0.81,1.2,0.8
150,225,96.0,782.0,1320,132.0,1800,2600,13.5,32030 X/DF,150,96,10,7.5,2.5,1.0,165,200,212,8,2.5,1.0,0.46,1.5,2.2,1.4
150,270,98.0,781.0,1120,114.0,1400,2400,22.0,30230/DF,150,90,15,10.0,3.0,1.0,176,234,256,9,3.0,1.0,0.43,1.6,2.3,1.6
150,270,154.0,1341.0,2280,224.0,1400,2400,37.5,32230/DF,150,146,10,7.5,3.0,1.0,171,226,256,8,3.0,1.0,0.43,1.6,2.3,1.6
150,320,144.0,1507.0,2120,208.0,1300,2000,52.0,30330/DF,150,130,19,10.0,4.0,1.5,189,273,303,9,4.0,1.5,0.35,1.9,2.9,1.8
150,320,164.0,1427.0,2040,200.0,1100,2000,58.5,31330 X/DF,150,150,20,15.0,4.0,1.5,181,251,304,9,4.0,1.5,0.83,0.81,1.2,0.8
160,240,102.0,912.0,1560,153.0,1600,2400,16.0,32032 X/DF,160,102,11,9.0,2.5,1.0,176,213,227,8,2.5,1.0,0.46,1.5,2.2,1.4
160,290,104.0,971.0,1460,143.0,1300,2200,27.5,30232/DF,160,96,15,10.0,3.0,1.0,190,252,276,7,3.0,1.0,0.43,1.6,2.3,1.6
160,290,168.0,1602.0,2800,265.0,1300,2200,48.0,32232/DF,160,160,10,7.5,3.0,1.0,183,242,276,10,3.0,1.0,0.43,1.6,2.3,1.6
170,260,114.0,1071.0,1830,176.0,1500,2200,21.5,32034 X/DF,170,114,15,10.0,2.5,1.0,188,230,247,10,2.5,1.0,0.44,1.5,2.3,1.4
170,310,114.0,1126.0,1730,166.0,1200,2000,34.5,30234/DF,170,104,16,10.0,4.0,1.5,203,269,293,8,4.0,1.5,0.43,1.6,2.3,1.6
170,310,182.0,1843.0,3250,300.0,1200,2000,59.5,32234/DF,170,172,15,10.0,4.0,1.5,196,259,293,10,4.0,1.5,0.43,1.6,2.3,1.6
