d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_zylindrische_Bohrung,Kurzzeichen_Lager_kegelige_Bohrung,d,d2,D1,b,K,r12_min,da_min,da_max,Da_max,ra_max,e,Y1,Y2,Y0,zulässige_Drehbeschleunigungen_bei_Ölschmierung,zulässige_Linearbeschleunigungen_bei_Ölschmierung
100,165,65.0,468.0,640.0,68.0,2400,3200,5.65,24120 CC/W33,24120 CCK30/W33,100,113.0,141.0,4.4,2,2.0,111.0,-,154.0,2.0,0.37,1.8,2.7,1.8,-,-
100,165,65.0,470.0,640.0,68.0,-,1700,5.65,24120-2RS5/VT143,-,100,110.0,147.0,4.4,2,2.0,110.0,110,154.0,2.0,0.35,1.9,2.9,1.8,-,-
100,180,46.0,433.0,490.0,49.0,3400,4500,4.9,22220 E,22220 EK,100,118.0,159.0,8.3,4.5,2.1,112.0,-,168.0,2.0,0.24,2.8,4.2,2.8,-,-
100,180,55.0,433.0,490.0,49.0,-,1600,5.5,BS2-2220-2RS5/VT143,BS2-2220-2RS5K/VT143,100,114.0,163.0,8.3,4.5,2.1,112.0,114,168.0,2.0,0.24,2.8,4.2,2.8,-,-
100,180,60.3,498.0,600.0,63.0,2400,3400,6.85,23220 CC/W33,23220 CCK/W33,100,117.0,153.0,8.3,4.5,2.1,112.0,-,168.0,2.0,0.33,2.0,3.0,2.0,-,-
100,180,60.3,499.0,600.0,63.0,-,1600,6.85,23220-2RS/VT143,-,100,114.0,159.0,8.3,4.5,2.1,112.0,114,168.0,2.0,0.3,2.3,3.4,2.2,-,-
100,180,60.3,499.0,600.0,63.0,-,1600,6.85,23220-2RS5/VT143,-,100,114.0,159.0,8.3,4.5,2.1,112.0,114,168.0,2.0,0.3,2.3,3.4,2.2,-,-
100,215,47.0,433.0,490.0,49.0,3400,4500,8.6,21320 E,21320 EK,100,118.0,159.0,8.3,4.5,3.0,114.0,-,201.0,2.5,0.24,2.8,4.2,2.8,-,-
100,215,73.0,847.0,950.0,88.0,2400,3000,13.5,22320 E,22320 EK,100,130.0,184.0,11.1,6,3.0,114.0,-,201.0,2.5,0.33,2.0,3.0,2.0,-,-
100,215,73.0,847.0,950.0,88.0,2400,3000,13.5,22320 EJA/VA405,22320 EKJA/VA405,100,130.0,184.0,11.1,6,3.0,114.0,-,201.0,2.5,0.33,2.0,3.0,2.0,56 g,20 g
100,215,73.0,847.0,950.0,88.0,2400,3000,13.5,22320 EJA/VA406,-,100,130.0,184.0,11.1,6,3.0,114.0,-,201.0,2.5,0.33,2.0,3.0,2.0,56 g,20 g
110,170,45.0,326.0,440.0,46.5,-,1500,3.8,23022-2RS/VT143,-,110,122.0,156.0,6,3,2.0,119.0,122,161.0,2.0,0.21,3.2,4.8,3.2,-,-
110,170,45.0,326.0,440.0,46.5,3400,4300,3.8,23022 CC/W33,23022 CCK/W33,110,125.0,151.0,6,3,2.0,119.0,-,161.0,2.0,0.23,2.9,4.4,2.8,-,-
110,170,60.0,437.0,620.0,67.0,2400,3600,5.0,24022 CC/W33,24022 CCK30/W33,110,122.0,149.0,5.5,3,2.0,119.0,-,161.0,2.0,0.33,2.0,3.0,2.0,-,-
110,170,60.0,438.0,620.0,67.0,-,1600,5.0,24022-2RS5/VT143,-,110,120.0,154.0,6,3,2.0,119.0,120,161.0,2.0,0.3,2.3,3.4,2.2,-,-
110,180,56.0,450.0,585.0,61.0,2800,3600,5.75,23122 CC/W33,23122 CCK/W33,110,126.0,157.0,8.3,4.5,2.0,121.0,-,169.0,2.0,0.3,2.3,3.4,2.2,-,-
110,180,56.0,451.0,585.0,61.0,-,800,5.75,23122-2CS5/VT143,23122-2CS5K/VT143,110,122.0,166.0,8.3,4.5,2.0,121.0,122,169.0,2.0,0.27,2.5,3.7,2.5,-,-
110,180,69.0,539.0,750.0,78.0,2000,3000,7.1,24122 CC/W33,24122 CCK30/W33,110,123.0,153.0,6,3,2.0,121.0,-,169.0,2.0,0.37,1.8,2.7,1.8,-,-
110,180,69.0,540.0,750.0,78.0,-,630,7.1,24122-2CS5/VT143,-,110,120.0,163.0,6,3,2.0,121.0,121,169.0,2.0,0.35,1.9,2.9,1.8,-,-
110,200,53.0,572.0,640.0,63.0,3000,4000,7.0,22222 E,22222 EK,110,130.0,178.0,8.3,4.5,2.1,122.0,-,188.0,2.0,0.25,2.7,4.0,2.5,-,-
110,200,63.0,572.0,640.0,63.0,-,1500,7.6, BS2-2222-2RS5/VT143, BS2-2222-2RS5K/VT143,110,126.0,183.0,8.3,4.5,2.1,122.0,126,188.0,2.0,0.25,2.7,4.0,2.5,-,-
110,200,69.8,626.0,765.0,76.5,2200,3200,9.85,23222 CC/W33,23222 CCK/W33,110,130.0,169.0,8.3,4.5,2.1,122.0,-,188.0,2.0,0.33,2.0,3.0,2.0,-,-
110,200,69.8,627.0,765.0,76.5,-,640,9.85,23222-2CS5/VT143,23222-2CS5K/VT143,110,126.0,178.0,8.3,4.5,2.1,122.0,126,188.0,2.0,0.33,2.0,3.0,2.0,-,-
110,240,80.0,989.0,1120.0,100.0,2000,2800,18.5,22322 E,22322 EK,110,143.0,204.0,13.9,7.5,3.0,124.0,-,226.0,2.5,0.33,2.0,3.0,2.0,-,-
110,240,80.0,989.0,1120.0,100.0,2000,2800,18.5,22322 EJA/VA405,22322 EKJA/VA405,110,143.0,204.0,13.9,7.5,3.0,124.0,-,226.0,2.5,0.33,2.0,3.0,2.0,53 g,19 g
110,240,80.0,989.0,1120.0,100.0,2000,2800,18.5,22322 EJA/VA406,-,110,143.0,204.0,13.9,7.5,3.0,124.0,-,226.0,2.5,0.33,2.0,3.0,2.0,53 g,19 g
120,180,46.0,366.0,500.0,52.0,3200,4000,4.2,23024 CC/W33,23024 CCK/W33,120,135.0,163.0,6,3,2.0,129.0,-,171.0,2.0,0.22,3.0,4.6,2.8,-,-
120,180,46.0,367.0,500.0,52.0,-,1400,4.2,23024-2RS5/VT143,-,120,132.0,168.0,6,3,2.0,129.0,132,171.0,2.0,0.2,3.4,5.0,3.2,-,-
120,180,60.0,456.0,670.0,68.0,2400,3400,5.45,24024 CC/W33,24024 CCK30/W33,120,132.0,159.0,6,3,2.0,129.0,-,171.0,2.0,0.3,2.3,3.4,2.2,-,-
120,180,60.0,457.0,670.0,68.0,-,670,5.45,24024-2CS5/VT143,-,120,130.0,166.0,6,3,2.0,129.0,130,171.0,2.0,0.28,2.4,3.6,2.5,-,-
120,200,62.0,534.0,695.0,71.0,2600,3400,8.0,23124 CC/W33,23124 CCK/W33,120,139.0,174.0,8.3,4.5,2.0,131.0,-,189.0,2.0,0.28,2.4,3.6,2.5,-,-
120,200,62.0,535.0,695.0,71.0,-,720,7.55,23124-2CS5/VT143,-,120,135.0,183.0,8.3,4.5,2.0,131.0,135,189.0,2.0,0.27,2.5,3.7,2.5,-,-
120,200,80.0,679.0,950.0,95.0,1900,2600,10.5,24124 CC/W33,24124 CCK30/W33,120,135.0,168.0,6,3,2.0,131.0,-,189.0,2.0,0.37,1.8,2.7,1.8,-,-
120,200,80.0,680.0,950.0,95.0,-,560,10.5,24124-2CS5/VT143,-,120,132.0,179.0,6,3,2.0,131.0,132,189.0,2.0,0.37,1.8,2.7,1.8,-,-
120,215,58.0,652.0,765.0,73.5,2800,3800,8.7,22224 E,22224 EK,120,141.0,189.0,11.1,6,2.1,132.0,-,203.0,2.0,0.26,2.6,3.9,2.5,-,-
120,215,69.0,652.0,765.0,73.5,-,1400,9.75, BS2-2224-2RS5/VT143, BS2-2224-2RS5K/VT143,120,136.0,194.0,11.1,6,2.1,132.0,136,203.0,2.0,0.26,2.6,3.9,2.5,-,-
120,215,76.0,732.0,930.0,93.0,2000,2800,12.0,23224 CC/W33,23224 CCK/W33,120,141.0,182.0,8.3,4.5,2.1,132.0,-,203.0,2.0,0.35,1.9,2.9,1.8,-,-
