d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager,Kurzzeichen_was_auch_immer,Kurzzeichen_Sprengring,d,d1,D1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr,f0
70,150,35,111.0,68.0,2.75,9500,6300,2.6,6314 N,6314 NR,SP 150,70,94.9,-,130,145.25,159.7,3.1,2.82,4.9,2.1,0.6,82.0,-,138.0,162,3.5,7.72,2.0,0.03,13
75,115,20,41.6,33.5,1.43,12000,7500,0.67,6015 N,6015 NR,SP 115,75,87.8,-,105,111.81,121.6,2.7,2.46,2.87,1.1,0.6,81.0,-,109.0,123,3.0,5.33,1.0,0.025,16
75,130,25,68.9,49.0,2.04,10000,6700,1.25,6215 N,6215 NR,SP 130,75,92.0,-,117,125.22,139.7,3.1,2.82,4.06,1.5,0.6,84.0,-,121.0,141,3.5,6.88,1.5,0.025,15
75,160,37,119.0,76.5,3.0,9000,5600,3.05,6315 N,6315 NR,SP 160,75,101.0,-,139,155.22,169.7,3.1,2.82,4.9,2.1,0.6,87.0,-,148.0,172,3.5,7.72,2.0,0.03,13
80,125,22,49.4,40.0,1.66,11000,7000,0.92,6016 N,6016 NR,SP 125,80,94.4,-,115,120.22,134.7,3.1,2.82,2.87,1.1,0.6,86.0,-,119.0,136,3.5,5.69,1.0,0.025,16
80,140,26,72.8,55.0,2.2,9500,6000,1.5,6216 N,6216 NR,SP 140,80,101.0,-,127,135.23,149.7,3.1,2.82,4.9,2.0,0.6,91.0,-,129.0,151,3.5,7.72,2.0,0.025,15
85,130,22,52.0,43.0,1.76,11000,6700,0.94,6017 N,6017 NR,SP 130,85,99.4,-,120,125.22,139.7,3.1,2.82,2.87,1.1,0.6,92.0,-,123.0,141,3.5,5.69,1.0,0.025,16
85,150,28,87.1,64.0,2.5,9000,5600,1.85,6217 N,6217 NR,SP 150,85,106.0,-,135,145.24,159.7,3.1,2.82,4.9,2.0,0.6,96.0,-,139.0,162,3.5,7.72,2.0,0.025,15
90,140,24,60.5,50.0,1.96,10000,6300,1.2,6018 N,6018 NR,SP 140,90,105.0,-,129,135.23,149.7,3.1,2.82,3.71,1.5,0.6,97.0,-,133.0,151,3.5,6.53,1.5,0.025,16
90,160,30,101.0,73.5,2.8,8500,5300,2.25,6218 N,6218 NR,SP 160,90,112.0,-,143,155.22,169.7,3.1,2.82,4.9,2.0,0.6,101.0,-,149.0,172,3.5,7.72,2.0,0.025,15
95,170,32,114.0,81.5,3.0,8000,5000,2.7,6219 N,6219 NR,SP 170,95,118.0,-,152,163.65,182.9,3.5,3.1,5.69,2.1,0.6,107.0,-,158.0,185,4.0,8.79,2.0,0.025,14
100,150,24,63.7,54.0,2.04,9500,5600,1.3,6020 N,6020 NR,SP 150,100,115.0,-,139,145.24,159.7,3.1,2.82,3.71,1.5,0.6,107.0,-,143.0,162,3.5,6.53,1.5,0.025,16
100,180,34,127.0,93.0,3.35,7500,4800,3.25,6220 N,6220 NR,SP 180,100,124.0,-,160,173.66,192.9,3.5,3.1,5.69,2.1,0.6,112.0,-,168.0,195,4.0,8.79,2.0,0.025,14
105,160,26,76.1,65.5,2.4,8500,5300,1.65,6021 N,6021 NR,SP 160,105,122.0,-,147,155.22,169.7,3.1,2.82,3.71,2.0,0.6,116.0,-,149.0,172,3.5,6.53,2.0,0.025,16
110,170,28,85.2,73.5,2.6,8000,5000,2.05,6022 N,6022 NR,SP 170,110,129.0,-,156,163.65,182.9,3.5,3.1,3.71,2.0,0.6,119.0,-,161.0,185,4.0,6.81,2.0,0.025,16
120,180,28,88.4,80.0,2.75,7500,4800,2.2,6024 N,6024 NR,SP 180,120,139.0,-,166,173.66,192.9,3.5,3.1,3.71,2.0,0.6,129.0,-,171.0,195,4.0,6.81,2.0,0.025,16
