d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,E_F,r12_min,r34_min,s_max,da_min,das,db_max,Da_max,Db_max,ra_max,rb_max,kr
440,540,60,1060.0,2700.0,232.0,450,560,30.0,NCF 2888 V,440,474.0,508.0,516.0,2.1,2.1,3.5,451,469.0,-,529,533,2.0,2,0.11
440,600,95,2010.0,4400.0,380.0,430,530,80.0, NCF 2988 V,440,502.0,545.0,565.5,4.0,4,6.0,455,492.0,-,585,585,3.0,3,0.2
460,580,72,1300.0,3050.0,260.0,430,530,44.0,NCF 2892 V/HB1,460,501.0,543.0,553.0,3.0,3,5.0,473,495.0,-,567,567,2.5,2.5,0.11
460,620,95,2050.0,4500.0,390.0,400,500,83.0, NCF 2992 V,460,516.0,558.0,579.0,4.0,4,6.0,475,506.0,-,605,605,3.0,3,0.2
460,680,163,3690.0,6950.0,540.0,380,480,195.0,NCF 3092 CV,460,522.0,611.0,632.97,6.0,6,16.0,483,511.0,-,657,657,5.0,5,0.3
480,600,56,935.0,2040.0,170.0,400,500,35.5,NCF 1896 V,480,522.0,561.0,573.5,3.0,3,5.0,493,516.0,-,587,587,2.5,2.5,0.1
480,600,72,1320.0,3150.0,265.0,400,500,46.0,NCF 2896 V,480,520.0,562.0,573.5,3.0,3,5.0,493,515.0,-,587,587,2.5,2.5,0.11
480,650,100,2290.0,4900.0,405.0,380,480,93.0, NCF 2996 V,480,538.0,584.0,615.0,5.0,5,7.0,498,527.0,-,632,632,4.0,4,0.2
480,700,165,3740.0,7200.0,550.0,360,450,205.0,NCF 3096 CV,480,546.0,628.0,654.0,6.0,6,16.0,503,532.0,-,677,677,5.0,5,0.3
500,620,56,952.0,2120.0,173.0,380,480,35.5, NCF 18/500 V,500,542.0,582.0,594.0,3.0,3,5.0,513,536.0,-,607,607,2.5,2.5,0.1
500,620,72,1340.0,3350.0,275.0,380,480,47.0,NCF 28/500 V,500,541.0,582.0,594.0,3.0,3,2.4,513,536.0,-,607,607,2.5,2.5,0.11
500,670,100,2380.0,5300.0,430.0,360,450,100.0,NCF 29/500 V,500,553.0,611.0,634.5,5.0,5,7.0,518,544.0,-,652,652,4.0,4,0.2
500,720,167,3800.0,7500.0,570.0,360,450,215.0,NCF 30/500 CV,500,565.0,650.0,676.0,6.0,6,16.0,523,553.0,-,697,697,5.0,5,0.3
530,650,56,990.0,2240.0,180.0,360,450,38.5, NCF 18/530 V,530,573.0,612.0,624.5,3.0,3,5.0,543,567.0,-,637,637,2.5,2.5,0.1
530,650,72,1400.0,3450.0,285.0,360,450,49.5,NCF 28/530 V,530,572.0,614.0,624.5,3.0,3,5.0,543,566.0,-,637,637,2.5,2.5,0.11
530,710,106,2700.0,6000.0,465.0,340,430,120.0,NCF 29/530 V,530,598.0,648.0,673.0,5.0,5,7.0,548,587.0,-,692,692,4.0,4,0.2
530,780,185,5230.0,10600.0,780.0,320,400,300.0,NCF 30/530 V,530,610.0,702.0,732.0,6.0,6,16.0,553,595.0,-,757,757,5.0,5,0.3
560,680,56,1020.0,2360.0,186.0,340,430,39.0, NCF 18/560 V/HB1,560,603.0,643.0,655.0,3.0,3,5.0,573,597.0,-,667,667,2.5,2.5,0.1
560,680,72,1420.0,3650.0,300.0,340,430,54.0, NCF 28/560 V,560,606.0,637.0,655.0,3.0,3,4.3,573,599.0,-,667,667,2.5,2.5,0.11
560,750,112,3030.0,6700.0,490.0,320,400,140.0,NCF 29/560 V/HB1,560,628.0,682.0,709.0,5.0,5,7.0,578,615.0,-,732,732,4.0,4,0.2
560,820,195,5830.0,11800.0,865.0,300,380,345.0,NCF 30/560 V,560,642.0,738.0,770.0,6.0,6,16.0,583,626.0,-,797,797,5.0,5,0.3
600,730,60,1050.0,2550.0,196.0,320,400,51.5, NCF 18/600 V,600,644.0,684.0,696.0,3.0,3,7.0,613,638.0,-,717,717,2.5,2.5,0.1
600,730,78,1570.0,4300.0,340.0,320,400,67.5,NCF 28/600 V/HB1,600,642.0,685.0,696.0,3.0,3,5.4,613,637.0,-,717,717,2.5,2.5,0.11
600,800,118,3360.0,7500.0,550.0,300,380,170.0,NCF 29/600 V,600,662.0,726.0,754.0,5.0,5,7.0,618,652.0,-,782,782,4.0,4,0.2
630,780,69,1250.0,2900.0,232.0,300,360,72.5, NCF 18/630 V,630,681.0,725.0,739.0,4.0,4,8.0,645,674.0,-,765,765,3.0,3,0.1
630,780,88,1940.0,5000.0,390.0,300,360,92.0,NCF 28/630 V,630,680.0,728.0,741.4,4.0,4,8.0,645,674.0,-,765,765,3.0,3,0.11
630,850,128,3740.0,8650.0,610.0,280,340,205.0,NCF 29/630 V,630,709.0,788.0,807.0,6.0,6,8.0,653,698.0,-,827,827,5.0,5,0.2
670,820,69,1300.0,3150.0,245.0,280,340,74.0, NCF 18/670 V,670,725.0,769.0,783.0,4.0,4,8.0,685,718.0,-,805,805,3.0,3,0.1
670,820,88,1940.0,5300.0,415.0,280,340,98.0, NCF 28/670 V,670,724.0,772.0,783.0,4.0,4,8.0,685,718.0,-,805,805,3.0,3,0.11
670,900,136,3910.0,9000.0,630.0,260,320,245.0,NCF 29/670 V,670,748.0,827.0,846.0,6.0,6,10.0,693,737.0,-,877,877,5.0,5,0.2
710,870,74,1540.0,3750.0,285.0,260,320,92.5,NCF 18/710 V,710,767.0,815.0,831.0,4.0,4,8.0,725,759.0,-,855,855,3.0,3,0.1
710,870,95,2330.0,6300.0,480.0,260,320,115.0,NCF 28/710 V,710,766.0,818.0,831.0,4.0,4,8.0,725,759.0,-,855,855,3.0,3,0.11
710,950,140,4290.0,10000.0,695.0,240,300,275.0,NCF 29/710 V,710,790.0,876.0,896.0,6.0,6,10.0,733,761.0,-,927,927,5.0,5,0.2
750,920,78,1760.0,4300.0,315.0,240,300,105.0, NCF 18/750 V,750,811.0,863.0,880.0,5.0,5,8.0,768,802.0,-,902,902,4.0,4,0.1
750,920,100,2640.0,6950.0,520.0,240,300,139.0,NCF 28/750 V,750,810.0,867.0,878.0,5.0,5,8.0,768,799.0,-,902,902,4.0,4,0.11
750,1000,145,4460.0,10600.0,710.0,220,280,313.0,NCF 29/750 V,750,832.0,918.0,938.0,6.0,6,11.0,773,820.0,-,977,977,5.0,5,0.2
800,980,82,1940.0,4800.0,345.0,220,280,126.0,NCF 18/800 V,800,863.0,922.0,936.0,5.0,5,9.0,818,855.0,-,962,962,4.0,4,0.1
800,980,106,2750.0,7500.0,550.0,220,280,169.0, NCF 28/800 V,800,863.0,922.0,936.0,5.0,5,10.0,818,855.0,-,962,962,4.0,4,0.11
800,1060,150,4950.0,12000.0,800.0,200,260,359.0,NCF 29/800 V,800,891.0,981.0,1002.0,6.0,6,11.0,823,860.0,-,1037,1037,5.0,5,0.2
850,1030,82,2050.0,5200.0,375.0,200,260,131.0,NCF 18/850 V,850,911.0,972.0,986.0,5.0,5,9.0,868,903.0,-,1012,1012,4.0,4,0.1
850,1030,106,2860.0,8000.0,570.0,200,260,175.0,NCF 28/850 V,850,911.0,972.0,986.0,5.0,5,10.0,868,903.0,-,1012,1012,4.0,4,0.11
850,1120,155,5230.0,12700.0,830.0,190,240,406.0,NCF 29/850 V,850,943.0,1039.0,1061.0,6.0,6,13.0,873,914.0,-,1097,1097,5.0,5,0.2
900,1090,85,2240.0,5700.0,405.0,190,240,154.0,NCF 18/900 V/HB1,900,966.0,1029.0,1044.0,5.0,5,9.0,918,957.0,-,1072,1072,4.0,4,0.1
900,1090,112,3190.0,9150.0,655.0,190,240,210.0,NCF 28/900 V,900,966.0,1029.0,1044.0,5.0,5,10.0,918,957.0,-,1072,1072,4.0,4,0.11
900,1180,165,5940.0,14600.0,950.0,170,220,472.0,NCF 29/900 V,900,996.0,1096.0,1120.0,6.0,6,13.0,923,982.0,-,1127,1127,5.0,5,0.2
