d,D,B,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,F,r12_min,s_max,da_min,Da_max,ra_max
100,140,40,-,125.0,280.0,34.0,3400,4000,1.9, NA 4920,100,115,1.1,2.0,106.5,133.5,1.0
110,140,30,-,93.5,232.0,27.0,3400,3800,1.1, NA 4822,110,120,1.0,0.8,115.0,135.0,1.0
110,150,40,-,130.0,300.0,35.5,3200,3600,2.05, NA 4922,110,125,1.1,2.0,116.5,143.5,1.0
120,150,30,-,99.0,255.0,29.0,3200,3600,1.15, NA 4824,120,130,1.0,0.8,125.0,145.0,1.0
120,165,45,-,176.0,405.0,49.0,3000,3400,2.85, NA 4924,120,135,1.1,2.0,126.5,158.5,1.0
130,165,35,-,119.0,325.0,36.5,2800,3200,1.8, NA 4826,130,145,1.1,1.0,136.5,158.5,1.0
130,180,50,-,198.0,480.0,57.0,2600,3000,3.9, NA 4926,130,150,1.5,1.5,138.0,172.0,1.5
140,175,35,-,121.0,345.0,37.5,2600,3000,1.9, NA 4828,140,155,1.1,1.0,146.5,168.5,1.0
140,190,50,-,205.0,510.0,60.0,2400,2800,4.15, NA 4928,140,160,1.5,1.5,148.0,182.0,1.5
150,190,40,-,147.0,415.0,46.5,2400,2800,2.7, NA 4830,150,165,1.1,1.5,156.5,183.5,1.0
160,200,40,-,157.0,450.0,49.0,2200,2600,2.85, NA 4832,160,175,1.1,1.5,166.5,193.5,1.0
170,215,45,-,179.0,520.0,56.0,2200,2400,3.95, NA 4834,170,185,1.1,1.5,176.5,208.5,1.0
180,225,45,-,190.0,570.0,60.0,2000,2400,4.2, NA 4836,180,195,1.1,1.5,186.5,218.5,1.0
190,240,50,-,220.0,710.0,73.5,1900,2200,5.55, NA 4838,190,210,1.5,1.5,198.0,232.0,1.5
200,250,50,-,224.0,735.0,75.0,1800,2000,5.8, NA 4840,200,220,1.5,1.5,208.0,242.0,1.5
220,270,50,-,238.0,815.0,81.5,1700,1900,6.35, NA 4844,220,240,1.5,1.5,228.0,262.0,1.5
240,300,60,-,347.0,1120.0,112.0,1500,1700,9.9, NA 4848,240,265,2.0,2.0,249.0,291.0,2.0
260,320,60,-,358.0,1200.0,118.0,1400,1500,10.5, NA 4852,260,285,2.0,2.0,269.0,311.0,2.0
280,350,69,-,429.0,1320.0,129.0,1300,1400,15.5, NA 4856,280,305,2.0,2.5,289.0,341.0,2.0
300,380,80,-,594.0,1800.0,173.0,1100,1300,22.0,NA 4860,300,330,2.1,2.0,311.0,369.0,2.0
320,400,80,-,605.0,1900.0,176.0,1100,1200,23.0,NA 4864,320,350,2.1,2.0,331.0,389.0,2.0
340,420,80,-,616.0,1960.0,183.0,1000,1200,24.0,NA 4868,340,370,2.1,2.0,351.0,409.0,2.0
360,440,80,-,627.0,2040.0,186.0,950,1100,25.5,NA 4872,360,390,2.1,2.0,371.0,429.0,2.0
380,480,100,-,968.0,3000.0,270.0,900,1000,42.5,NA 4876,380,415,2.1,2.0,391.0,469.0,2.0
