ID,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_offen_oder_beidseitig_abgedichtet,Kurzzeichen_einseitig_abgedichtet,d.1,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
102,12,21,5.0,1.74,0.915,0.039,70000,36000,0.0063,61801-2Z,-,12,14.8,-,-,19,0.3,14.0,14.7,19.0,0.3,0.015,13.0,
103,12,21,5.0,1.74,0.915,0.039,70000,43000,0.0063,61801,-,12,14.8,-,18.3,-,0.3,14.0,-,19.0,0.3,0.015,13.0,
104,12,24,6.0,2.91,1.46,0.062,-,19000,0.011,61901-2RS1,-,12,-,15.3,-,21.4,0.3,14.0,15.2,22.0,0.3,0.02,15.0,
105,12,24,6.0,2.91,1.46,0.062,67000,32000,0.011,61901-2Z,-,12,16,-,-,21.4,0.3,14.0,15.8,22.0,0.3,0.02,15.0,
106,12,24,6.0,2.91,1.46,0.062,67000,40000,0.011,61901,-,12,16,-,20.3,-,0.3,14.0,-,22.0,0.3,0.02,15.0,
107,12,28,8.0,5.4,2.36,0.1,60000,38000,0.021,6001,-,12,17,-,-,24.8,0.3,14.0,-,26.0,0.3,0.025,13.0,
108,12,28,8.0,5.4,2.36,0.1,-,17000,0.022,6001-2RSH,6001-RSH,12,-,14.7,-,24.8,0.3,14.0,15,26.0,0.3,0.025,13.0,
109,12,28,8.0,5.4,2.36,0.1,60000,30000,0.021,6001-2RSL,6001-RSL,12,-,14.7,-,24.8,0.3,14.0,15,26.0,0.3,0.025,13.0,
110,12,28,8.0,5.4,2.36,0.1,60000,30000,0.022,6001-2Z,6001-Z,12,17,-,-,24.8,0.3,14.0,16.9,26.0,0.3,0.025,13.0,
111,12,28,12.0,5.07,2.36,0.1,-,17000,0.029,63001-2RS1,-,12,17,-,-,24.8,0.3,14.0,16.9,26.0,0.3,0.025,13.0,
112,12,30,8.0,5.07,2.36,0.1,-,17000,0.028,16101-2RS1,-,12,17,-,-,24.8,0.3,14.4,16.6,27.6,0.3,0.025,13.0,
113,12,30,8.0,5.07,2.36,0.1,56000,28000,0.028,16101-2Z,-,12,17,-,-,24.8,0.3,14.4,16.6,27.6,0.3,0.025,13.0,
114,12,30,8.0,5.07,2.36,0.1,60000,38000,0.026,16101,-,12,17,-,-,24.8,0.3,14.4,-,27.6,0.3,0.025,13.0,
115,12,32,10.0,7.28,3.1,0.132,50000,32000,0.037,6201,-,12,18.4,-,-,27.4,0.6,16.2,-,27.8,0.6,0.025,12.0,
116,12,32,10.0,7.28,3.1,0.132,-,15000,0.038,6201-2RSH,6201-RSH,12,-,16.2,-,27.4,0.6,16.2,16.5,27.8,0.6,0.025,12.0,
117,12,32,10.0,7.28,3.1,0.132,50000,26000,0.038,6201-2RSL,6201-RSL,12,-,16.2,-,27.4,0.6,16.2,16.5,27.8,0.6,0.025,12.0,
118,12,32,10.0,7.28,3.1,0.132,50000,26000,0.039,6201-2Z,6201-Z,12,18.4,-,-,27.4,0.6,16.2,18.4,27.8,0.6,0.025,12.0,
119,12,32,14.0,6.89,3.1,0.132,-,15000,0.045,62201-2RS1,-,12,18.5,-,-,27.4,0.6,16.2,18.4,27.8,0.6,0.025,12.0,
120,12,37,12.0,10.1,4.15,0.176,45000,28000,0.06,6301,-,12,19.5,-,-,31.5,1.0,17.6,-,31.4,1.0,0.03,11.0,
121,12,37,12.0,10.1,4.15,0.176,-,14000,0.062,6301-2RSH,6301-RSH,12,-,17.5,-,31.5,1.0,17.6,17.8,31.4,1.0,0.03,11.0,
122,12,37,12.0,10.1,4.15,0.176,45000,22000,0.06,6301-2RSL,6301-RSL,12,-,17.5,-,31.5,1.0,17.6,17.6,31.4,1.0,0.03,11.0,
123,12,37,12.0,10.1,4.15,0.176,45000,22000,0.063,6301-2Z,6301-Z,12,19.5,-,-,31.5,1.0,17.6,19.4,31.4,1.0,0.03,11.0,
124,12,37,17.0,9.75,4.15,0.176,-,14000,0.07,62301-2RS1,-,12,19.5,-,-,31.5,1.0,17.6,19.4,31.4,1.0,0.03,11.0,
125,15,24,5.0,1.9,1.1,0.048,-,17000,0.0074,61802-2RS1,-,15,17.8,-,-,22.2,0.3,17.0,17.8,22.0,0.3,0.015,14.0,
126,15,24,5.0,1.9,1.1,0.048,60000,30000,0.0074,61802-2Z,-,15,17.8,-,-,22.2,0.3,17.0,17.8,22.0,0.3,0.015,14.0,
127,15,24,5.0,1.9,1.1,0.048,60000,38000,0.0065,61802,-,15,17.8,-,21.3,-,0.3,17.0,-,22.0,0.3,0.015,14.0,
128,15,28,7.0,4.36,2.24,0.095,-,16000,0.016,61902-2RS1,-,15,18.8,-,-,25.3,0.3,17.0,18.3,26.0,0.3,0.02,14.0,
129,15,28,7.0,4.36,2.24,0.095,56000,28000,0.016,61902-2RZ,-,15,18.8,-,-,25.3,0.3,17.0,18.3,26.0,0.3,0.02,14.0,
130,15,28,7.0,4.36,2.24,0.095,56000,28000,0.016,61902-2Z,-,15,18.8,-,-,25.3,0.3,17.0,18.3,26.0,0.3,0.02,14.0,
131,15,28,7.0,4.36,2.24,0.095,56000,34000,0.016,61902,-,15,18.8,-,-,25.3,0.3,17.0,-,26.0,0.3,0.02,14.0,
132,15,32,8.0,5.85,2.85,0.12,50000,32000,0.027,16002,-,15,20.5,-,-,28.2,0.3,17.0,-,30.0,0.3,0.02,14.0,
133,15,32,8.0,5.85,2.85,0.12,50000,26000,0.025,16002-2Z,16002-Z,15,20.5,-,-,28.2,0.3,17.0,20.1,30.0,0.3,0.02,14.0,
134,15,32,9.0,5.85,2.85,0.12,50000,32000,0.03,6002,-,15,20.5,-,-,28.2,0.3,17.0,-,30.0,0.3,0.025,14.0,
135,15,32,9.0,5.85,2.85,0.12,-,14000,0.03,6002-2RSH,6002-RSH,15,-,18.3,-,28.2,0.3,17.0,18.5,30.0,0.3,0.025,14.0,
136,15,32,9.0,5.85,2.85,0.12,50000,26000,0.03,6002-2RSL,6002-RSL,15,-,18.3,-,28.2,0.3,17.0,18.5,30.0,0.3,0.025,14.0,
137,15,32,9.0,5.85,2.85,0.12,50000,26000,0.032,6002-2Z,6002-Z,15,20.5,-,-,28.2,0.3,17.0,20.4,30.0,0.3,0.025,14.0,
138,15,32,13.0,5.59,2.85,0.12,-,14000,0.039,63002-2RS1,-,15,20.5,-,-,28.2,0.3,17.0,20.4,30.0,0.3,0.025,14.0,
139,15,35,11.0,8.06,3.75,0.16,43000,28000,0.045,6202,-,15,21.7,-,-,30.5,0.6,19.2,-,30.8,0.6,0.025,13.0,
140,15,35,11.0,8.06,3.75,0.16,-,13000,0.046,6202-2RSH,6202-RSH,15,-,18.6,-,30.5,0.6,19.2,19.4,31.3,0.6,0.025,13.0,
141,15,35,11.0,8.06,3.75,0.16,43000,22000,0.046,6202-2RSL,6202-RSL,15,-,18.6,-,30.5,0.6,19.2,19.4,30.8,0.6,0.025,13.0,
142,15,35,11.0,8.06,3.75,0.16,43000,22000,0.048,6202-2Z,6202-Z,15,21.7,-,-,30.5,0.6,19.2,21.6,30.8,0.6,0.025,13.0,
143,15,35,14.0,7.8,3.75,0.16,-,13000,0.054,62202-2RS1,-,15,21.7,-,-,30.4,0.6,19.2,21.6,30.8,0.6,0.025,13.0,
144,15,42,13.0,11.9,5.4,0.228,38000,24000,0.082,6302,-,15,23.7,-,-,36.3,1.0,20.6,-,36.4,1.0,0.03,12.0,
145,15,42,13.0,11.9,5.4,0.228,-,12000,0.085,6302-2RSH,6302-RSH,15,-,20.6,-,36.3,1.0,20.6,21,36.4,1.0,0.03,12.0,
146,15,42,13.0,11.9,5.4,0.228,38000,19000,0.085,6302-2RSL,6302-RSL,15,-,20.6,-,36.3,1.0,20.6,21,36.4,1.0,0.03,12.0,
147,15,42,13.0,11.9,5.4,0.228,38000,19000,0.086,6302-2Z,6302-Z,15,23.7,-,-,36.3,1.0,20.6,23.6,36.4,1.0,0.03,12.0,
148,15,42,17.0,11.4,5.4,0.228,-,12000,0.11,62302-2RS1,-,15,23.7,-,-,36.3,1.0,20.6,23.6,36.4,1.0,0.03,12.0,
149,15,52,7.0,4.49,3.75,0.16,-,7500,0.034,61808-2RS1,-,15,-,42.1,-,49.3,0.3,42.0,42,50.0,0.3,0.015,15.0,
